date,season,home_team,away_team,home_pts,away_pts,home_diff,arena,lat,lon,capacity,team_key,elo_home_pre,elo_away_pre,elo_delta_pre,elo_exp_home_win,expected_margin_neutral,residual_margin
2021-10-27,2021,Portland Trail Blazers,Memphis Grizzlies,116,96,20,Moda Center,45.531666666667,-122.66666666667,20636.0,portland trail blazers,1492.8351552808135,1512.2957330118302,-19.460577731016656,0.472023228900671,0.84,19.16
2021-10-27,2021,Phoenix Suns,Sacramento Kings,107,110,-3,Mortgage Matchup Center,33.445833333333,-112.07138888889,19023.0,phoenix suns,1477.2828725612471,1485.3340172590943,-8.051144697847121,0.4884155449051078,1.33,-4.33
2021-10-27,2021,Toronto Raptors,Indiana Pacers,118,100,18,Scotiabank Arena,43.643333333333,-79.379166666667,19800.0,toronto raptors,1495.2310890740475,1493.5334164956614,1.6976725783861184,0.5024431277884546,1.75,16.25
2021-10-27,2021,Orlando Magic,Charlotte Hornets,111,120,-9,Kia Center,28.539167,-81.383611,18846.0,orlando magic,1459.2739809131883,1515.2327666025437,-55.95878568935541,0.42015803830967724,-0.74,-8.26
2021-10-27,2021,Oklahoma City Thunder,Los Angeles Lakers,123,115,8,Paycom Center,35.463333,-97.515,18203.0,oklahoma city thunder,1443.357783195921,1493.6523562657821,-50.294573069861144,0.4281216681776299,-0.5,8.5
2021-10-27,2021,Milwaukee Bucks,Minnesota Timberwolves,108,113,-5,Fiserv Forum,43.0451,-87.9182,17341.0,milwaukee bucks,1510.3364282630791,1511.468767573046,-1.1323393099669374,0.4983704385101189,1.63,-6.63
2021-10-27,2021,New Orleans Pelicans,Atlanta Hawks,99,102,-3,Smoothie King Center,29.948888888889,-90.081944444444,18500.0,new orleans pelicans,1474.5446481857787,1524.8790752573022,-50.33442707152358,0.4280654998725186,-0.5,-2.5
2021-10-27,2021,Boston Celtics,Washington Wizards,107,116,-9,TD Garden,42.366302777778,-71.062227777778,18624.0,boston celtics,1493.5916553624486,1503.3430783494887,-9.751422987040087,0.48597025802092597,1.26,-10.26
2021-10-28,2021,Washington Wizards,Atlanta Hawks,122,111,11,Capital One Arena,38.898055555556,-77.020833333333,20674.0,washington wizards,1512.730548633096,1529.480103634212,-16.749555001115823,0.47591410929651845,0.95,10.05
2021-10-28,2021,Chicago Bulls,New York Knicks,103,104,-1,United Center,41.880555555556,-87.674166666667,23500.0,chicago bulls,1537.605682615472,1527.3884505464725,10.217232068999465,0.5146995417431315,2.12,-3.12
2021-10-28,2021,Philadelphia 76ers,Detroit Pistons,110,102,8,Xfinity Mobile Arena,39.90115,-75.17197,20328.0,philadelphia 76ers,1506.139637485663,1466.642000903965,39.49763658169786,0.5565980555132316,3.38,4.62
2021-10-28,2021,Houston Rockets,Utah Jazz,91,122,-31,Toyota Center,29.750833333333,-95.362222222222,18023.0,houston rockets,1486.373936527967,1537.106875914276,-50.732939386309,0.4275039580409155,-0.52,-30.48
2021-10-28,2021,Dallas Mavericks,San Antonio Spurs,104,99,5,American Airlines Center,32.790555555556,-96.810277777778,19200.0,dallas mavericks,1500.4313321221007,1494.4913271722426,5.940004949858121,0.5085475214911597,1.93,3.07
2021-10-28,2021,Golden State Warriors,Memphis Grizzlies,101,104,-3,Chase Center,37.767833333333,-122.38738888889,18000.0,golden state warriors,1530.7982372930699,1495.2640874303286,35.53414986274129,0.5509601902066737,3.21,-6.21
2021-10-29,2021,Miami Heat,Charlotte Hornets,114,99,15,Kaseya Center,25.781388888889,-80.188055555556,16500.0,miami heat,1540.0717972286595,1523.0617783988841,17.01001882977539,0.5244598448911586,2.41,12.59
2021-10-29,2021,Los Angeles Lakers,Cleveland Cavaliers,113,101,12,Crypto.com Arena,34.043055555556,-118.26722222222,19060.0,los angeles lakers,1483.669500759571,1511.8980990229106,-28.228598263339563,0.45946493711633124,0.46,11.54
2021-10-29,2021,New Orleans Pelicans,Sacramento Kings,109,113,-4,Smoothie King Center,29.948888888889,-90.081944444444,18500.0,new orleans pelicans,1469.943619808869,1490.76015640213,-20.816536593260935,0.4700783911950668,0.78,-4.78
2021-10-29,2021,Denver Nuggets,Dallas Mavericks,106,75,31,Ball Arena,39.748611111111,-105.0075,19155.0,denver nuggets,1496.2693558390818,1507.3156889183979,-11.046333079316128,0.48410840314911063,1.2,29.8
2021-10-29,2021,Brooklyn Nets,Indiana Pacers,105,98,7,Barclays Center,40.68265,-73.974689,17732.0,brooklyn nets,1480.0136608684145,1478.3978923437455,1.6157685246689653,0.5023252610608444,1.75,5.25
2021-10-29,2021,Portland Trail Blazers,LA Clippers,111,92,19,Moda Center,45.531666666667,-122.66666666667,20636.0,portland trail blazers,1509.8668008623151,1498.5767828084322,11.290018053882932,0.5162419255946151,2.16,16.84
2021-10-29,2021,Toronto Raptors,Orlando Magic,110,109,1,Scotiabank Arena,43.643333333333,-79.379166666667,19800.0,toronto raptors,1510.3666132259634,1451.444969116848,58.921644109115505,0.5839913817506608,4.22,-3.22
2021-10-30,2021,Washington Wizards,Boston Celtics,115,112,3,Capital One Arena,38.898055555556,-77.020833333333,20674.0,washington wizards,1524.1197397661133,1484.2041850788412,39.915554687272106,0.5571917005255524,3.4,-0.4
2021-10-30,2021,Memphis Grizzlies,Miami Heat,103,129,-26,FedExForum,35.138333333333,-90.050555555556,18119.0,memphis grizzlies,1501.2542188060074,1552.7047215772,-51.45050277119253,0.4264933146353674,-0.55,-25.45
2021-10-30,2021,Milwaukee Bucks,San Antonio Spurs,93,102,-9,Fiserv Forum,43.0451,-87.9182,17341.0,milwaukee bucks,1503.3283368411687,1487.6069703759454,15.721366465223355,0.5226094359192445,2.36,-11.36
2021-10-30,2021,Chicago Bulls,Utah Jazz,107,99,8,United Center,41.880555555556,-87.674166666667,23500.0,chicago bulls,1533.478676559992,1555.506708883713,-22.028032323720936,0.4683415219416051,0.72,7.28
2021-10-30,2021,Golden State Warriors,Oklahoma City Thunder,103,82,21,Chase Center,37.767833333333,-122.38738888889,18000.0,golden state warriors,1524.808105917391,1453.340638702132,71.46746721525892,0.6014234798692869,4.76,16.24
2021-10-30,2021,New Orleans Pelicans,New York Knicks,117,123,-6,Smoothie King Center,29.948888888889,-90.081944444444,18500.0,new orleans pelicans,1464.09511828252,1531.5154566019526,-67.42033831943263,0.4041741288074024,-1.24,-4.76
2021-10-30,2021,Minnesota Timberwolves,Denver Nuggets,91,93,-2,Target Center,44.979444444444,-93.276111111111,19356.0,minnesota timberwolves,1518.4768589949565,1519.1721932065307,-0.6953342115741634,0.49899933496711135,1.65,-3.65
2021-10-30,2021,Detroit Pistons,Orlando Magic,110,103,7,Little Caesars Arena,42.3412,-83.0549,20332.0,detroit pistons,1458.8370543003737,1448.2334137252808,10.603640575092868,0.5152551292603001,2.13,4.87
2021-10-30,2021,Indiana Pacers,Toronto Raptors,94,97,-3,Gainbridge Fieldhouse,39.763888888889,-86.155555555556,18165.0,indiana pacers,1470.035061417711,1513.5781686175305,-43.54310719981959,0.43766246657631264,-0.2,-2.8
2021-10-30,2021,Philadelphia 76ers,Atlanta Hawks,122,94,28,Xfinity Mobile Arena,39.90115,-75.17197,20328.0,philadelphia 76ers,1513.9445840892542,1518.0909125011947,-4.146328411940431,0.4940332370195422,1.5,26.5
2021-10-30,2021,Phoenix Suns,Cleveland Cavaliers,101,92,9,Mortgage Matchup Center,33.445833333333,-112.07138888889,19023.0,phoenix suns,1471.8567334182114,1499.596343463996,-27.739610045784502,0.4601641019988105,0.48,8.52
2021-10-31,2021,Los Angeles Lakers,Houston Rockets,95,85,10,Crypto.com Arena,34.043055555556,-118.26722222222,19060.0,los angeles lakers,1495.9712563184858,1467.9741035585303,27.997152759955497,0.5402041573110513,2.89,7.11
2021-10-31,2021,Brooklyn Nets,Detroit Pistons,117,91,26,Barclays Center,40.68265,-73.974689,17732.0,brooklyn nets,1488.376491794449,1466.9245378558123,21.451953938636734,0.530832672345035,2.6,23.4
2021-10-31,2021,Charlotte Hornets,Portland Trail Blazers,125,113,12,Spectrum Center,35.225,-80.839166666667,19077.0,charlotte hornets,1510.4288540503437,1525.0243909509293,-14.595536900585557,0.4790076814593394,1.05,10.95
2021-10-31,2021,Dallas Mavericks,Sacramento Kings,105,99,6,American Airlines Center,32.790555555556,-96.810277777778,19200.0,dallas mavericks,1484.412851550949,1496.608657928479,-12.195806377530062,0.4824560289303204,1.15,4.85
2021-10-31,2021,Milwaukee Bucks,Utah Jazz,95,107,-12,Fiserv Forum,43.0451,-87.9182,17341.0,milwaukee bucks,1493.2807243421212,1546.0197076962488,-52.73898335412764,0.4246801151666947,-0.6,-11.4
2021-11-01,2021,LA Clippers,Oklahoma City Thunder,99,94,5,Crypto.com Arena,34.043056,-118.267222,19060.0,la clippers,1483.419192719818,1440.5614590982818,42.85773362153623,0.5613662953665484,3.53,1.47
2021-11-01,2021,New York Knicks,Toronto Raptors,104,113,-9,Madison Square Garden,40.750555555556,-73.993611111111,20789.0,new york knicks,1537.446306051515,1518.3070469797533,19.13925907176167,0.5275157803813313,2.5,-11.5
2021-11-01,2021,Philadelphia 76ers,Portland Trail Blazers,113,103,10,Xfinity Mobile Arena,39.90115,-75.17197,20328.0,philadelphia 76ers,1534.9215116371115,1513.0395733741657,21.881938262945823,0.5314490691262945,2.62,7.38
2021-11-01,2021,Indiana Pacers,San Antonio Spurs,131,118,13,Gainbridge Fieldhouse,39.763888888889,-86.155555555556,18165.0,indiana pacers,1465.3061830554882,1497.654582874993,-32.34839981950472,0.4535809648764834,0.28,12.72
2021-11-01,2021,Atlanta Hawks,Washington Wizards,118,111,7,State Farm Arena,33.757222222222,-84.396388888889,19445.0,atlanta hawks,1497.1139849533374,1528.9176731961802,-31.80368824284278,0.4543582239570275,0.3,6.7
2021-11-01,2021,Minnesota Timberwolves,Orlando Magic,97,115,-18,Target Center,44.979444444444,-93.276111111111,19356.0,minnesota timberwolves,1513.657345663987,1440.1459301698421,73.51141549414479,0.6042405310253193,4.85,-22.85
2021-11-01,2021,Boston Celtics,Chicago Bulls,114,128,-14,TD Garden,42.366302777778,-71.062227777778,18624.0,boston celtics,1479.4062516487743,1542.965677747456,-63.5594260986818,0.4095375450479759,-1.07,-12.93
2021-11-01,2021,Charlotte Hornets,Cleveland Cavaliers,110,113,-3,Spectrum Center,35.225,-80.839166666667,19077.0,charlotte hornets,1522.4136716271073,1489.3151591527087,33.0985124743986,0.5474890137824703,3.11,-6.11
2021-11-01,2021,Memphis Grizzlies,Denver Nuggets,106,97,9,FedExForum,35.138333333333,-90.050555555556,18119.0,memphis grizzlies,1485.1001578995674,1523.9917065375002,-38.89154863793283,0.44426316813585115,-0.0,9.0
2021-11-02,2021,Los Angeles Lakers,Houston Rockets,119,117,2,Crypto.com Arena,34.043055555556,-118.26722222222,19060.0,los angeles lakers,1505.3052731798518,1458.6400866971642,46.66518648268766,0.5667556588329893,3.69,-1.69
2021-11-02,2021,Phoenix Suns,New Orleans Pelicans,112,100,12,Mortgage Matchup Center,33.445833333333,-112.07138888889,19023.0,phoenix suns,1482.1379177294987,1458.1642688329575,23.973648896541135,0.5344462026232264,2.71,9.29
2021-11-02,2021,Utah Jazz,Sacramento Kings,119,113,6,Delta Center,40.768333,-111.901111,19911.0,utah jazz,1555.5029373899679,1488.6819423802312,66.82099500973663,0.5949947537421924,4.56,1.44
2021-11-02,2021,Dallas Mavericks,Miami Heat,110,125,-15,American Airlines Center,32.790555555556,-96.810277777778,19200.0,dallas mavericks,1492.3395670991968,1568.85878248364,-76.51921538444321,0.3916265980245627,-1.63,-13.37
2021-11-02,2021,Detroit Pistons,Milwaukee Bucks,89,117,-28,Little Caesars Arena,42.3412,-83.0549,20332.0,detroit pistons,1448.7348623852217,1483.797494648402,-35.062632263180376,0.44971142184262747,0.16,-28.16
2021-11-03,2021,Minnesota Timberwolves,LA Clippers,115,126,-11,Target Center,44.979444444444,-93.276111111111,19356.0,minnesota timberwolves,1496.2738808478216,1489.3881984672557,6.885682380565868,0.5099079963278176,1.97,-12.97
2021-11-03,2021,San Antonio Spurs,Dallas Mavericks,108,109,-1,Frost Bank Center,29.426944444444,-98.4375,18581.0,san antonio spurs,1484.6020583686773,1482.402564943825,2.199493424852335,0.5031652831975725,1.77,-2.77
2021-11-03,2021,Philadelphia 76ers,Chicago Bulls,103,98,5,Xfinity Mobile Arena,39.90115,-75.17197,20328.0,philadelphia 76ers,1544.478992390474,1552.990620002702,-8.511627612227812,0.48775323317693475,1.31,3.69
2021-11-03,2021,Memphis Grizzlies,Denver Nuggets,108,106,2,FedExForum,35.138333333333,-90.050555555556,18119.0,memphis grizzlies,1495.592599170988,1513.4992652660796,-17.906666095091623,0.4742530293769775,0.9,1.1
2021-11-03,2021,Golden State Warriors,Charlotte Hornets,114,92,22,Chase Center,37.767833333333,-122.38738888889,18000.0,golden state warriors,1537.5872855212413,1516.4499803541298,21.137305167111435,0.5303815531780649,2.59,19.41
2021-11-03,2021,Washington Wizards,Toronto Raptors,100,109,-9,Capital One Arena,38.898055555556,-77.020833333333,20674.0,washington wizards,1519.964750342045,1528.421675087773,-8.456924745728202,0.4878319100037964,1.31,-10.31
2021-11-03,2021,Orlando Magic,Boston Celtics,79,92,-13,Kia Center,28.539167,-81.383611,18846.0,orlando magic,1457.5293949860074,1469.3813093935285,-11.851914407521008,0.4829503369602761,1.16,-14.16
2021-11-03,2021,Indiana Pacers,New York Knicks,111,98,13,Gainbridge Fieldhouse,39.763888888889,-86.155555555556,18165.0,indiana pacers,1478.3587075618038,1527.3316779434952,-48.97297038169131,0.4299853120126653,-0.44,13.44
2021-11-03,2021,Brooklyn Nets,Atlanta Hawks,117,108,9,Barclays Center,40.68265,-73.974689,17732.0,brooklyn nets,1506.5661672650397,1506.0669078074727,0.49925945756695,0.5007184916207879,1.7,7.3
2021-11-03,2021,Cleveland Cavaliers,Portland Trail Blazers,107,104,3,Rocket Arena,41.496388888889,-81.688055555556,20562.0,cleveland cavaliers,1495.2788504256862,1503.482092620803,-8.2032421951169,0.48819677874187434,1.32,1.68
2021-11-03,2021,Sacramento Kings,New Orleans Pelicans,112,99,13,Golden 1 Center,38.58,-121.5,18500.0,sacramento kings,1482.73619217473,1447.5335855173016,35.202606657428305,0.550487971700118,3.2,9.8
2021-11-04,2021,Los Angeles Lakers,Oklahoma City Thunder,104,107,-3,Crypto.com Arena,34.043055555556,-118.26722222222,19060.0,los angeles lakers,1509.3413534668668,1434.5924533508442,74.7489001160227,0.6059427384106536,4.91,-7.91
2021-11-04,2021,Miami Heat,Boston Celtics,78,95,-17,Kaseya Center,25.781388888889,-80.188055555556,16500.0,miami heat,1578.7957846390118,1481.1051205376068,97.69066410140499,0.6369967271279153,5.9,-22.9
2021-11-04,2021,Phoenix Suns,Houston Rockets,123,111,12,Mortgage Matchup Center,33.445833333333,-112.07138888889,19023.0,phoenix suns,1492.7686010451546,1454.6040064101492,38.164594635005415,0.5547034215468463,3.33,8.67
