date,season,home_team,away_team,home_pts,away_pts,home_diff,arena,lat,lon,capacity,elev_m,home_elev_m,away_elev_m,delta_elev,home_capacity,away_capacity,home_rest_days,away_rest_days,home_b2b,away_b2b,rest_delta,elo_home_pre,elo_away_pre,elo_delta_pre,elo_exp_home_win,expected_margin_neutral,residual_margin
2021-10-30,2021,Phoenix Suns,Cleveland Cavaliers,101,92,9,,,,,,,,,,,3.0,1.0,False,True,2.0,1471.8802453849896,1574.0869903429605,-102.20674495797084,0.3570136868881998,-2.66,11.66
2021-10-31,2021,Dallas Mavericks,Sacramento Kings,105,99,6,,,,,,,,,,,2.0,2.0,False,False,0.0,1484.4129699898854,1497.7194576349252,-13.306487645039851,0.4808597824769591,0.98,5.02
2021-10-31,2021,Los Angeles Lakers,Houston Rockets,95,85,10,,,,,,,,,,,2.0,3.0,False,False,-1.0,1497.9120517345975,1467.9741035585303,29.937948176067266,0.5429778534117398,2.76,7.24
2021-10-31,2021,Milwaukee Bucks,Utah Jazz,95,107,-12,,,,,,,,,,,1.0,1.0,True,True,0.0,1493.2808171450397,1546.0197076962488,-52.738890551209124,0.4246802456901796,-0.63,-11.37
2021-10-31,2021,Charlotte Hornets,Portland Trail Blazers,125,113,12,,,,,,,,,,,2.0,2.0,False,False,0.0,1510.4288540503437,1506.3812831212667,4.047570929076983,0.5058246592995085,1.7,10.3
2021-10-31,2021,Brooklyn Nets,Detroit Pistons,117,91,26,,,,,,,184.0,,,20332.0,2.0,1.0,False,True,1.0,1488.376491794449,1466.9245378558123,21.451953938636734,0.530832672345035,2.41,23.59
2021-11-01,2021,New York Knicks,Toronto Raptors,104,113,-9,,,,,,,,,,,2.0,2.0,False,False,0.0,1537.4469389522633,1518.3070469797533,19.139891972509986,0.5275166884402475,2.32,-11.32
2021-11-01,2021,Philadelphia 76ers,Portland Trail Blazers,113,103,10,,,,,,,,,,,2.0,1.0,False,True,1.0,1534.9215116371115,1494.917741514369,40.00377012274248,0.5573169881136267,3.17,6.83
2021-11-01,2021,Indiana Pacers,San Antonio Spurs,131,118,13,,,,,,,,,,,2.0,2.0,False,False,0.0,1465.3061830554882,1497.6592072271478,-32.35302417165963,0.4535743672655617,0.2,12.8
2021-11-01,2021,Atlanta Hawks,Washington Wizards,118,111,7,,,,,,,,,,,2.0,2.0,False,False,0.0,1497.1139849533374,1528.9176731961802,-31.80368824284278,0.4543582239570275,0.23,6.77
2021-11-01,2021,Minnesota Timberwolves,Orlando Magic,97,115,-18,,,,,,,,,,,2.0,2.0,False,False,0.0,1513.657345764593,1440.1459301698421,73.51141559475082,0.6042405311638102,4.55,-22.55
2021-11-01,2021,Boston Celtics,Chicago Bulls,114,128,-14,,,,,,,,,,,2.0,2.0,False,False,0.0,1479.4062516487743,1542.965677747456,-63.5594260986818,0.4095375450479759,-1.08,-12.92
2021-11-01,2021,Charlotte Hornets,Cleveland Cavaliers,110,113,-3,,,,,,,,,,,1.0,2.0,True,False,-1.0,1521.8923956572414,1562.5156844999399,-40.62328884269846,0.4418033494533143,-0.14,-2.86
2021-11-01,2021,Memphis Grizzlies,Denver Nuggets,106,97,9,,,,,,,,,,,2.0,2.0,False,False,0.0,1515.2371991735488,1523.9917121039132,-8.754512930364399,0.4874039088454612,1.17,7.83
2021-11-01,2021,LA Clippers,Oklahoma City Thunder,99,94,5,Crypto.com Arena,34.043056,-118.267222,19060.0,88.0,88.0,,,19060.0,,3.0,0.0,False,True,3.0,1364.5785888899748,1442.6744043017782,-78.09581541180341,0.3894664192037811,-1.67,6.67
2021-11-02,2021,Dallas Mavericks,Miami Heat,110,125,-15,,,,,,,,,,,2.0,3.0,False,False,-1.0,1492.3571431349812,1571.0581394803446,-78.70099634536336,0.3886383762436401,-1.7,-13.3
